iter	MultiClass
0	1.620869522
1	1.394125747
2	1.238430515
3	1.113030429
4	1.011697499
5	0.928034047
6	0.858220586
7	0.8090341681
8	0.7564751187
9	0.709372568
10	0.6720357517
11	0.6379640607
12	0.6066448776
13	0.5771311245
14	0.5534326166
15	0.5319058596
16	0.5106481596
17	0.4940824033
18	0.4807101227
19	0.4667648014
20	0.4514816622
21	0.4377837884
22	0.4266487204
23	0.4177877192
24	0.4061844686
25	0.3975870219
26	0.39052666
27	0.3820442811
28	0.3757681364
29	0.3695170164
30	0.3633319995
31	0.3587258379
32	0.3555422184
33	0.3509782098
34	0.3467465129
35	0.3437720892
36	0.3396400964
37	0.3356159438
38	0.331965529
39	0.328967715
40	0.3272365302
41	0.3244398989
42	0.3218265283
43	0.3200179626
44	0.3175257406
45	0.315322582
46	0.3137156444
47	0.3122200648
48	0.30878755
49	0.3073841491
50	0.3058339641
51	0.3045072216
52	0.3033774928
53	0.301450183
54	0.2997737873
55	0.2984326871
56	0.2965151962
57	0.2953682573
58	0.2940060537
59	0.2925907518
60	0.2915051993
61	0.2902917583
62	0.2891064482
63	0.2866776512
64	0.285631353
65	0.2846086737
66	0.2839650195
67	0.2827990073
68	0.2816379005
69	0.2800873622
70	0.2788605966
71	0.2780406073
72	0.2768460746
73	0.2758870724
74	0.2750542372
75	0.2745204503
76	0.2734731754
77	0.2725343499
78	0.2714290682
79	0.270485709
80	0.2696027883
81	0.2688944909
82	0.2680510042
83	0.2671795836
84	0.2662605685
85	0.265470154
86	0.2644639803
87	0.2636315449
88	0.2627210089
89	0.2621431563
90	0.2615139086
91	0.2606614841
92	0.2598218593
93	0.2594120035
94	0.258883742
95	0.2581394105
96	0.2574137065
97	0.2566020388
98	0.2553073963
99	0.2544230149
100	0.2539080228
101	0.2529848523
102	0.2521230085
103	0.2511524263
104	0.2506811533
105	0.2499183179
106	0.2494205177
107	0.2485513066
108	0.2469551481
109	0.2463924636
110	0.2459448133
111	0.2452986296
112	0.2447276697
113	0.2435107244
114	0.2430757826
115	0.2425286281
116	0.2422044119
117	0.2415331512
118	0.2408782234
119	0.24046302
120	0.2397705026
121	0.2393052129
122	0.2390780456
123	0.2387360323
124	0.2382463748
125	0.2376328513
126	0.2373824792
127	0.2365967207
128	0.2362264663
129	0.2358648436
130	0.2353112782
131	0.2349418264
132	0.2347403147
133	0.2345209507
134	0.2339276291
135	0.2331960608
136	0.2327787491
137	0.2324593636
138	0.2321089368
139	0.2311119404
140	0.2304639397
141	0.2297805121
142	0.2294565028
143	0.2292393854
144	0.2290285219
145	0.2286055517
146	0.2279044717
147	0.2275232046
148	0.2268740913
