iter	Passed	Remaining
0	11	11007
1	21	10613
2	29	9943
3	39	9719
4	47	9415
5	55	9226
6	64	9132
7	72	9013
8	81	8929
9	89	8816
10	97	8780
11	106	8751
12	114	8667
13	121	8592
14	130	8574
15	138	8523
16	146	8499
17	155	8456
18	163	8424
19	170	8364
20	178	8327
21	185	8262
22	193	8238
23	201	8192
24	208	8141
25	216	8120
26	224	8091
27	232	8060
28	239	8028
29	247	7990
30	255	7999
31	264	8005
32	273	8007
33	281	8003
34	289	7986
35	297	7969
36	305	7959
37	313	7933
38	321	7925
39	329	7907
40	337	7886
41	345	7871
42	352	7846
43	359	7811
44	367	7793
45	374	7770
46	382	7751
47	389	7728
48	397	7714
49	405	7701
50	413	7687
51	420	7665
52	428	7652
53	435	7632
54	443	7618
55	451	7603
56	458	7588
57	466	7581
58	474	7574
59	482	7561
60	490	7544
61	497	7533
62	505	7514
63	513	7504
64	522	7508
65	529	7496
66	536	7476
67	544	7462
68	552	7449
69	560	7446
70	568	7442
71	576	7434
72	584	7420
73	591	7405
74	599	7394
75	606	7379
76	614	7367
77	622	7355
78	629	7343
79	637	7336
80	645	7326
81	653	7313
82	661	7311
83	669	7304
84	678	7305
85	685	7290
86	693	7277
87	701	7267
88	708	7256
89	716	7243
90	724	7232
91	731	7222
92	739	7213
93	747	7206
94	755	7196
95	763	7187
96	770	7173
97	777	7158
98	785	7146
99	792	7135
100	799	7120
101	807	7107
102	814	7097
103	822	7089
104	830	7078
105	838	7071
106	846	7064
107	854	7055
108	862	7047
109	869	7033
110	877	7026
111	884	7015
112	892	7002
113	899	6991
114	907	6983
115	915	6974
116	923	6966
117	931	6963
118	939	6953
119	947	6946
120	954	6937
121	962	6923
122	968	6908
123	976	6895
124	982	6880
125	990	6870
126	997	6857
127	1004	6844
128	1011	6832
129	1019	6820
130	1026	6811
131	1033	6798
132	1041	6788
133	1048	6777
134	1056	6769
135	1064	6764
136	1072	6755
137	1079	6744
138	1086	6731
139	1094	6722
140	1102	6715
141	1109	6706
142	1117	6696
143	1124	6685
144	1132	6675
145	1139	6664
146	1146	6655
147	1154	6645
148	1161	6635
149	1169	6626
150	1177	6618
151	1184	6607
152	1192	6599
153	1199	6586
154	1205	6574
155	1213	6564
156	1221	6558
157	1229	6550
158	1236	6539
159	1243	6526
160	1250	6515
161	1257	6503
162	1264	6493
163	1271	6481
164	1278	6471
165	1286	6461
166	1293	6450
167	1301	6443
168	1308	6435
169	1316	6426
170	1324	6420
171	1331	6409
172	1338	6400
173	1346	6390
174	1353	6381
175	1361	6373
176	1368	6363
177	1375	6354
178	1383	6345
179	1391	6337
180	1398	6327
181	1405	6318
182	1413	6310
183	1420	6299
184	1427	6288
185	1435	6280
186	1442	6273
187	1451	6268
188	1459	6262
189	1467	6254
190	1474	6244
191	1481	6235
192	1488	6225
193	1496	6218
194	1504	6211
195	1512	6203
196	1520	6196
197	1528	6189
198	1535	6182
199	1543	6172
200	1550	6164
201	1559	6159
202	1567	6154
203	1575	6148
204	1584	6143
205	1593	6141
206	1602	6138
207	1611	6134
208	1619	6128
209	1627	6121
210	1634	6112
211	1642	6104
212	1650	6097
213	1658	6091
214	1666	6084
215	1674	6078
216	1682	6069
217	1690	6065
218	1697	6054
219	1705	6048
220	1713	6041
221	1721	6032
222	1728	6021
223	1736	6014
224	1743	6006
225	1751	5997
226	1759	5989
227	1767	5984
228	1775	5977
229	1783	5970
230	1791	5963
231	1798	5953
232	1806	5945
233	1814	5938
234	1821	5927
235	1828	5918
236	1836	5911
237	1843	5903
238	1851	5896
239	1859	5889
240	1867	5881
241	1874	5872
242	1882	5863
243	1890	5856
244	1898	5849
245	1905	5840
246	1913	5832
247	1921	5826
248	1929	5820
249	1937	5811
250	1944	5801
251	1951	5793
252	1959	5784
253	1967	5779
254	1975	5772
255	1983	5764
256	1990	5755
257	1998	5747
258	2006	5740
259	2013	5731
260	2022	5726
261	2030	5718
262	2038	5711
263	2046	5704
264	2054	5699
265	2062	5690
266	2070	5685
267	2079	5679
268	2086	5671
269	2095	5666
270	2104	5660
271	2112	5653
272	2120	5645
273	2127	5637
274	2136	5632
275	2144	5624
276	2152	5617
277	2159	5609
278	2167	5602
279	2176	5596
280	2184	5588
281	2191	5580
282	2200	5573
283	2207	5565
284	2215	5558
285	2223	5551
286	2231	5544
287	2238	5534
288	2247	5529
289	2255	5521
290	2262	5513
291	2270	5505
292	2277	5495
293	2285	5487
294	2292	5479
295	2301	5473
296	2308	5464
297	2316	5456
298	2323	5448
299	2331	5439
300	2338	5431
301	2345	5422
302	2353	5413
303	2361	5405
304	2369	5399
305	2376	5390
306	2383	5381
307	2390	5370
308	2397	5360
309	2404	5351
310	2411	5343
311	2419	5334
312	2426	5326
313	2434	5318
314	2442	5310
315	2449	5301
316	2456	5293
317	2464	5284
318	2471	5276
319	2478	5267
320	2486	5259
321	2493	5250
322	2500	5241
323	2509	5235
324	2516	5227
325	2524	5219
326	2532	5211
327	2540	5203
328	2547	5195
329	2555	5187
330	2562	5179
331	2570	5171
332	2577	5163
333	2586	5157
334	2593	5148
335	2601	5141
336	2609	5133
337	2617	5126
338	2624	5117
339	2631	5108
340	2639	5101
341	2648	5095
342	2656	5088
343	2664	5080
344	2671	5071
345	2679	5064
346	2687	5057
347	2695	5049
348	2703	5042
349	2710	5034
350	2718	5025
351	2725	5017
352	2733	5009
353	2741	5003
354	2749	4995
355	2756	4987
356	2764	4978
357	2771	4970
358	2779	4962
359	2786	4953
360	2793	4945
361	2801	4937
362	2809	4929
363	2816	4921
364	2824	4913
365	2831	4905
366	2839	4896
367	2847	4890
368	2855	4882
369	2863	4875
370	2871	4867
371	2879	4860
372	2886	4852
373	2893	4843
374	2901	4836
375	2909	4828
376	2917	4821
377	2925	4813
378	2932	4805
379	2940	4797
380	2947	4789
381	2955	4781
382	2962	4773
383	2970	4765
384	2977	4756
385	2985	4749
386	2993	4741
387	3000	4733
388	3008	4725
389	3016	4717
390	3023	4709
391	3030	4701
392	3038	4693
393	3046	4686
394	3055	4679
395	3062	4671
396	3071	4664
397	3079	4657
398	3086	4649
399	3094	4642
400	3102	4634
401	3110	4626
402	3117	4618
403	3125	4610
404	3133	4603
405	3140	4595
406	3148	4588
407	3156	4580
408	3164	4572
409	3171	4564
410	3179	4555
411	3186	4547
412	3195	4541
413	3204	4535
414	3212	4528
415	3220	4521
416	3228	4514
417	3237	4507
418	3246	4501
419	3254	4494
420	3262	4487
421	3271	4480
422	3278	4472
423	3286	4465
424	3294	4457
425	3302	4449
426	3310	4442
427	3318	4434
428	3326	4427
429	3333	4419
430	3341	4411
431	3348	4402
432	3356	4394
433	3364	4387
434	3372	4380
435	3379	4371
436	3387	4364
437	3395	4356
438	3402	4347
439	3409	4338
440	3417	4331
441	3424	4323
442	3431	4314
443	3439	4307
444	3448	4301
445	3455	4292
446	3463	4285
447	3471	4276
448	3478	4269
449	3486	4261
450	3494	4253
451	3501	4245
452	3508	4236
453	3516	4228
454	3523	4220
455	3531	4212
456	3539	4205
457	3546	4196
458	3553	4188
459	3561	4180
460	3568	4172
461	3576	4164
462	3583	4156
463	3591	4148
464	3598	4140
465	3606	4132
466	3614	4124
467	3621	4116
468	3629	4109
469	3637	4101
470	3644	4093
471	3652	4086
472	3661	4079
473	3669	4072
474	3678	4065
475	3686	4058
476	3694	4051
477	3703	4044
478	3711	4037
479	3720	4030
480	3727	4022
481	3736	4015
482	3745	4008
483	3753	4001
484	3762	3995
485	3771	3988
486	3778	3980
487	3787	3973
488	3795	3966
489	3803	3959
490	3812	3951
491	3820	3944
492	3828	3937
493	3837	3930
494	3845	3922
495	3854	3916
496	3862	3909
497	3871	3902
498	3879	3894
499	3886	3886
500	3894	3878
501	3901	3870
502	3909	3863
503	3917	3855
504	3925	3848
505	3933	3840
506	3941	3832
507	3948	3824
508	3956	3817
509	3965	3809
510	3972	3801
511	3980	3793
512	3988	3786
513	3995	3778
514	4003	3770
515	4011	3762
516	4018	3754
517	4026	3746
518	4033	3738
519	4040	3729
